priority,subject,network,address,snapshot_status,snapshot_phmn,interaction_summary,recommended_action
Critical,attacker pqard,Juno,juno1pqardc39d558mr58nx5m2wgmy448pv94ehdea0,present,15100.000000,"Confirmed attacker cluster; received unauthorized PHMN from compromised minter and participated in sale/bridge flow","Exclude from normal distribution"
Critical,attacker pqard,Cosmos,cosmos1pqardc39d558mr58nx5m2wgmy448pv9409wz6n,present_as_equivalent,15100.000000,"Cosmos-equivalent final snapshot address for attacker row","Exclude from normal distribution"
Critical,attacker pqard,Osmosis,osmo1pqardc39d558mr58nx5m2wgmy448pv9487ajvp,not_separate_final_row,0,"Received 12000 PHMN and bridged USDC toward Solana","Keep in attacker cluster evidence"
Critical,attacker pqard,Neutron,neutron1pqardc39d558mr58nx5m2wgmy448pv94t68qq5,not_separate_final_row,0,"Received 15000 PHMN, swapped 2900 PHMN to USDC, returned 12100 PHMN to Juno","Keep in attacker cluster evidence"
Critical,attacker route,Solana,AhT5WaWAAoMF48nPssaSFEoygCfsq1N2qq7BTUJqEer,not_applicable,,"USDC token account that received attacker-routed funds through Noble/CCTP","Monitor Solana movement"
Critical,attacker route,Solana,39CAqAK85xu24YbTw7LbqnphG1QqReL4PHkcmTX3v1HC,not_applicable,,"Owner wallet of attacker-routed Solana USDC token account","Monitor Solana movement"
Critical,attacker route,Solana,6MxMEeH2MQTjk7Cd4JDbJSnTvtpoKJuv374KpQYKJ3Rv,not_applicable,,"CCTP destination caller/signer for Solana receive transaction","Monitor Solana movement"
High,Olim eltl,Juno,juno1eltl6qu6y538vhux3mk3pjpn7redx8najm4u3e,present,300.009116,"Operator-provided Olim address; snapshot amount comes from DAS staking active attribution","Manual review before distribution"
High,Olim eltl,Cosmos,cosmos1eltl6qu6y538vhux3mk3pjpn7redx8nayfk8k9,present_as_equivalent,300.009116,"Cosmos-equivalent address for the Olim eltl snapshot row","Manual review before distribution"
High,Olim eltl,Osmosis,osmo1eltl6qu6y538vhux3mk3pjpn7redx8navj9hqh,derived_only,0,"Derived Osmosis equivalent; no separate source row in final snapshot","Use for deeper account-history scan"
High,Olim eltl,Neutron,neutron1eltl6qu6y538vhux3mk3pjpn7redx8naqkl9vz,derived_only,0,"Derived Neutron equivalent; no separate source row in final snapshot","Use for deeper account-history scan"
Context,Olim 187,Cosmos,cosmos187jy6cderlfwwttds33e6cdzntx0z0gh9qrhee,not_present,0,"Operator-provided Olim 187 cluster; exact raw-key cluster not in final snapshot","Context only unless new evidence appears"
Context,Olim 187,Juno,juno187jy6cderlfwwttds33e6cdzntx0z0ghnjqv79,not_present,0,"Previously investigated PHMN/DAS address; common funding hub relation noted in evidence","Context only unless new evidence appears"
Context,Olim 187,Osmosis,osmo187jy6cderlfwwttds33e6cdzntx0z0ghdms80t,not_present,0,"Operator-provided Olim 187 cluster; exact raw-key cluster not in final snapshot","Context only unless new evidence appears"
Context,Olim 187,Neutron,neutron187jy6cderlfwwttds33e6cdzntx0z0ghpl24r7,not_present,0,"Derived Neutron equivalent; exact raw-key cluster not in final snapshot","Context only unless new evidence appears"
Context,Olim provided,Solana,CjHc2hJUxHmYrg9wTttkCekMgQCCa3L3Mhgq8dbrDNPb,not_applicable,,"Operator-provided Solana address; not a PHMN snapshot row","Compare against Solana attacker-route addresses with indexer"
Medium,Astroport PHMN/USDC pool,Neutron,neutron1muu00n0ae5z7kwnjfn98naju9p6vrj4msj35netm2ffjqs5wxyts57cwjv,present_contract,0.000017,"Pool contract used in attacker Neutron sale route; contract row has dust PHMN in final snapshot","Treat as contract/LP accounting, not normal holder"
High lead,common funding hub,Osmosis,osmo1m8wg4vxkefhs374qxmmqpyusgz289wmulex5qdwpfx7jnrxzer5s9cv83q,not_present,0,"Funded attacker Noble/Juno/Neutron addresses and previously investigated juno187 PHMN/DAS address","Continue investigation; no direct distribution action"
